abstract_id,field,pred_unique_entity_count,gold_unique_entity_count,pred_mention_count,gold_mention_count,unique_entity_delta,mention_delta
abs_001,Anatomical Entity,3,2,4,3,1,1
abs_001,Measurement,4,4,4,6,0,-2
abs_001,Population,2,7,2,7,-5,-5
abs_001,Symptom,6,10,12,25,-4,-13
abs_001,Terms of Body Movements,0,5,0,5,-5,-5
abs_002,Anatomical Entity,5,4,5,11,1,-6
abs_002,Measurement,4,9,6,9,-5,-3
abs_002,Population,3,5,10,10,-2,0
abs_002,Symptom,0,2,0,8,-2,-8
abs_002,Terms of Body Movements,6,7,15,11,-1,4
abs_003,Anatomical Entity,4,5,10,12,-1,-2
abs_003,Measurement,5,5,8,5,0,3
abs_003,Population,1,4,6,4,-3,2
abs_003,Symptom,2,6,2,10,-4,-8
abs_003,Terms of Body Movements,3,6,6,16,-3,-10
abs_004,Anatomical Entity,3,3,6,10,0,-4
abs_004,Measurement,5,9,6,11,-4,-5
abs_004,Population,5,4,6,4,1,2
abs_004,Symptom,4,7,9,22,-3,-13
abs_004,Terms of Body Movements,2,3,3,3,-1,0
abs_005,Anatomical Entity,3,7,5,12,-4,-7
abs_005,Measurement,5,5,5,5,0,0
abs_005,Population,5,8,13,8,-3,5
abs_005,Symptom,4,3,4,6,1,-2
abs_005,Terms of Body Movements,4,8,4,13,-4,-9
abs_006,Anatomical Entity,9,11,12,22,-2,-10
abs_006,Measurement,2,1,10,1,1,9
abs_006,Population,2,7,2,15,-5,-13
abs_006,Symptom,1,3,1,6,-2,-5
abs_006,Terms of Body Movements,0,3,0,17,-3,-17
abs_007,Anatomical Entity,2,5,7,10,-3,-3
abs_007,Measurement,11,14,14,14,-3,0
abs_007,Population,1,6,5,7,-5,-2
abs_007,Symptom,1,2,1,6,-1,-5
abs_007,Terms of Body Movements,4,7,14,22,-3,-8
abs_008,Anatomical Entity,3,6,7,15,-3,-8
abs_008,Measurement,2,5,3,6,-3,-3
abs_008,Population,1,5,5,10,-4,-5
abs_008,Symptom,3,8,3,11,-5,-8
abs_008,Terms of Body Movements,6,9,9,13,-3,-4
abs_009,Anatomical Entity,10,11,31,42,-1,-11
abs_009,Measurement,13,10,32,19,3,13
abs_009,Population,2,5,6,6,-3,0
abs_009,Symptom,3,9,5,25,-6,-20
abs_009,Terms of Body Movements,1,8,1,14,-7,-13
abs_010,Anatomical Entity,1,2,1,2,-1,-1
abs_010,Measurement,1,1,1,1,0,0
abs_010,Population,3,3,3,3,0,0
abs_010,Symptom,2,2,2,2,0,0
abs_010,Terms of Body Movements,0,1,0,1,-1,-1
abs_011,Anatomical Entity,8,10,18,29,-2,-11
abs_011,Measurement,7,2,10,2,5,8
abs_011,Symptom,2,2,4,4,0,0
abs_011,Terms of Body Movements,3,14,4,18,-11,-14
abs_012,Anatomical Entity,9,7,11,9,2,2
abs_012,Measurement,12,8,35,9,4,26
abs_012,Population,1,1,1,1,0,0
abs_012,Symptom,0,2,0,2,-2,-2
abs_012,Terms of Body Movements,8,13,24,40,-5,-16
abs_013,Anatomical Entity,3,4,6,13,-1,-7
abs_013,Measurement,6,6,7,7,0,0
abs_013,Population,1,5,2,5,-4,-3
abs_013,Symptom,3,4,5,9,-1,-4
abs_013,Terms of Body Movements,6,8,14,22,-2,-8
abs_014,Anatomical Entity,2,5,5,13,-3,-8
abs_014,Measurement,3,2,3,2,1,1
abs_014,Population,2,4,5,4,-2,1
abs_014,Symptom,3,4,10,11,-1,-1
abs_014,Terms of Body Movements,4,10,7,13,-6,-6
abs_015,Anatomical Entity,6,7,12,20,-1,-8
abs_015,Measurement,6,3,11,3,3,8
abs_015,Population,0,1,0,1,-1,-1
abs_015,Symptom,2,2,2,2,0,0
abs_015,Terms of Body Movements,2,8,6,17,-6,-11
abs_016,Anatomical Entity,9,9,67,60,0,7
abs_016,Measurement,5,5,7,5,0,2
abs_016,Population,3,6,4,6,-3,-2
abs_016,Symptom,6,4,9,7,2,2
abs_016,Terms of Body Movements,3,11,8,36,-8,-28
abs_017,Anatomical Entity,10,12,27,32,-2,-5
abs_017,Measurement,4,4,4,4,0,0
abs_017,Population,4,5,11,7,-1,4
abs_017,Symptom,3,2,11,10,1,1
abs_017,Terms of Body Movements,9,16,12,28,-7,-16
abs_018,Anatomical Entity,0,4,0,8,-4,-8
abs_018,Measurement,11,15,15,15,-4,0
abs_018,Population,2,4,4,5,-2,-1
abs_018,Symptom,2,2,8,8,0,0
abs_018,Terms of Body Movements,4,5,8,9,-1,-1
abs_019,Anatomical Entity,3,5,4,7,-2,-3
abs_019,Measurement,6,4,6,5,2,1
abs_019,Population,1,4,5,9,-3,-4
abs_019,Symptom,2,1,7,6,1,1
abs_019,Terms of Body Movements,3,5,5,8,-2,-3
